0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
"13
42","WG
G",WGG-9,"Gadchi
roli",0,"1971.
6",0,"1971.
6",0,"1873.
1",0,"1873.
1",,"219.
7",,"219.
7",,0,,0,,771.8,,771.8,,991.4,,991.4,0,"219.
7",0,"219.
7",0,881.6,0,881.6,,"52.
9",,"52.
9",,safe,,safe
"13
43","WG
GC","WGGC-
0","Gadchi
roli",0,41.5,0,41.5,0,39.4,0,39.4,,7.2,,7.2,,0,,0,,11.1,,11.1,,18.3,,18.3,0,7.2,0,7.2,0,21.1,0,21.1,,"46.
4",,"46.
4",,safe,,safe
"13
44","WG
GD","WGGD-
0","Gadchi
roli",0,17.0,0,17.0,0,16.2,0,16.2,,2.6,,2.6,,0,,0,,6.2,,6.2,,8.9,,8.9,0,2.6,0,2.6,0,7.3,0,7.3,,"54.
9",,"54.
9",,safe,,safe
"13
45","WG
GD","WGGD-
0",Gondia,0,"1572.
4",0,"1572.
4",0,"1493.
8",0,"1493.
8",,47.8,,47.8,,1.4,,1.4,,52.9,,52.9,,102.1,,102.1,0,47.8,0,47.8,0,"1391.
7",0,"1391.
7",,6.8,,6.8,,safe,,safe
"13
46","WG
GS","WGGS-
0",Gondia,0,300.5,0,300.5,0,285.5,0,285.5,,22.4,,22.4,,0,,0,,10.9,,10.9,,33.3,,33.3,0,22.4,0,22.4,0,252.2,0,252.2,,"11.
7",,"11.
7",,safe,,safe
"13
47","WG
K",WGK-1,"Gadchi
roli",0.3,"3975.
3",0,"3975.
6",0.2,"3776.
5",0,"3776.
8",,"164.
8",,"164.
8",,0.2,,0.2,,"1064.
2",,"1064.
2",,"1229.
2",,"1229.
2",0,"164.
8",0,"164.
8",0.2,"2547.
3",0,"2547.
6",,"32.
5",,"32.
5",,safe,,safe
"13
48","WG
K",WGK-1,"Gadchi
roli",0,"2539.
9",0,"2539.
9",0,"2412.
9",0,"2412.
9",,64.4,,64.4,,0,,0,,372.1,,372.1,,436.5,,436.5,0,64.4,0,64.4,0,"1976.
4",0,"1976.
4",,"18.
1",,"18.
1",,safe,,safe
"13
49","WG
K",WGK-1,Nagpur,"297.
3","1028.
8",0,"1326.
1","267.
6",977.3,0,"1244.
9",28.2,75.2,,"103.
4",0.0,0,,0,"161.
1",508.1,,669.2,"189.
3",583.3,,772.6,28.2,75.2,0,"103.
4",78.3,394.0,0,472.3,"70.
7","59.
7",,"62.
1","semi_cri
tical",safe,,safe
"13
50","WG
K",WGK-2,"Gadchi
roli",0,"2862.
7",0,"2862.
7",0,"2719.
6",0,"2719.
6",,67.7,,67.7,,0,,0,,852.3,,852.3,,920.1,,920.1,0,67.7,0,67.7,0,"1799.
5",0,"1799.
5",,"33.
8",,"33.
8",,safe,,safe
"13
51","WG
K",WGK-2,Nagpur,"1069
.4",816.0,0,"1885.
5","962.
5",775.2,0,"1737.
7",92.5,90.2,,"182.
7",2.6,0,,2.6,"320.
3",475.9,,796.2,"415.
5",566.0,,981.5,92.6,90.2,0,"182.
7","547.
0",209.2,0,756.2,"43.
2","73.
0",,"56.
5",safe,"semi_cri
tical",,safe
"13
52","WG
K",WGK-2,"Gadchi
roli",0,"1531.
3",0,"1531.
3",0,"1454.
7",0,"1454.
7",,66.6,,66.6,,0,,0,,854.4,,854.4,,921.0,,921.0,0,66.6,0,66.6,0,533.7,0,533.7,,"63.
3",,"63.
3",,safe,,safe
"13
53","WG
K",WGK-3,Nagpur,"2645
.6",0.0,0,"2645.
6","2513
.3",0.0,0,"2513.
3","123.
5",,,"123.
5",0.7,,,0.7,"357.
6",,,357.6,"481.
7",,,481.7,"123.
5",0.0,0,"123.
5","2031
.5",0.0,0,"2031.
5","19.
2",,,"19.
2",safe,,,safe
"13
54","WG
K",WGK-3,"Gadchi
roli",0,784.6,0,784.6,0,745.4,0,745.4,,46.2,,46.2,,0,,0,,202.1,,202.1,,248.3,,248.3,0,46.3,0,46.3,0,497.0,0,497.0,,"33.
3",,"33.
3",,safe,,safe
"13
55","WG
K",WGK-3,"Gadchi
roli",0,"1046.
9",0,"1046.
9",0,994.5,0,994.5,,28.1,,28.1,,0,,0,,158.6,,158.6,,186.6,,186.6,0,28.1,0,28.1,0,807.9,0,807.9,,"18.
8",,"18.
8",,safe,,safe
"13
56","WG
K",WGK-4,"Gadchi
roli",0,"2606.
0",0,"2606.
0",0,"2475.
7",0,"2475.
7",,"141.
6",,"141.
6",,0,,0,,686.3,,686.3,,827.9,,827.9,0,"141.
6",0,"141.
6",0,"1647.
9",0,"1647.
9",,"33.
4",,"33.
4",,safe,,safe
"13
57","WG
K",WGK-4,Nagpur,"6067
.4",0.0,0,"6067.
4","5764
.0",0.0,0,"5764.
0","644.
7",,,"644.
7",7.1,,,7.1,"804.
5",,,804.5,"1456
.2",,,"1456.
2","644.
7",0.0,0,"644.
7","4307
.8",0.0,0,"4307.
8","25.
3",,,"25.
3",safe,,,safe
"13
58","WG
K",WGK-4,"Gadchi
roli",0,83.0,0,83.0,0,78.8,0,78.8,,9.4,,9.4,,0,,0,,39.2,,39.2,,48.6,,48.6,0,9.4,0,9.4,0,30.3,0,30.3,,"61.
6",,"61.
6",,safe,,safe
"13
59","WG
K",WGK-5,Nagpur,"1254
.5",550.6,0,"1805.
1","1191
.7",495.5,0,"1687.
3","113.
4","130.
9",,"244.
4",0.0,"43.
2",,"43.
2","586.
2",235.4,,821.6,"699.
6",409.6,,"1109.
2","113.
4","130.
9",0,"244.
4","492.
1",86.0,0,578.1,"58.
7","82.
6",,"65.
7",safe,"semi_cri
tical",,safe
"13
60","WG
K",WGK-6,Nagpur,"2326
.1",0.0,0,"2326.
1","2209
.8",0.0,0,"2209.
8",90.6,,,90.6,0.0,,,0,"563.
0",,,563.0,"653.
5",,,653.5,90.6,0.0,0,90.6,"1556
.3",0.0,0,"1556.
3","29.
6",,,"29.
6",safe,,,safe
"13
61","WG
K",WGK-6,"Bhand
ara",0,204.0,0,204.0,0,193.8,0,193.8,,52.5,,52.5,,0.7,,0.7,,118.8,,118.8,,172.0,,172.0,0,52.5,0,52.5,0,21.9,0,21.9,,"88.
7",,"88.
7",,"semi_cri
tical",,"semi_cri
tical"
"13
62","WG
K",WGK-7,Nagpur,"1277
.0",0.0,0,"1277.
0","1213
.2",0.0,0,"1213.
2","268.
5",,,"268.
5",6.4,,,6.4,"351.
2",,,351.2,"626.
0",,,626.0,"268.
5",0.0,0,"268.
5","587.
1",0.0,0,587.1,"51.
6",,,"51.
6",safe,,,safe
"13
63","WG
K",WGK-8,Nagpur,0,165.2,0,165.2,0,157.0,0,157.0,,10.8,,10.8,,0,,0,,69.9,,69.9,,80.7,,80.7,0,10.8,0,10.8,0,76.3,0,76.3,,"51.
4",,"51.
4",,safe,,safe
"13
64","WG
KB","WGKB-
0","Gadchi
roli",0,481.0,0,481.0,0,457.0,0,457.0,,34.4,,34.4,,0,,0,,212.8,,212.8,,247.2,,247.2,0,34.4,0,34.4,0,209.8,0,209.8,,"54.
1",,"54.
1",,safe,,safe
"S.
No","BAS
IN","WATER
SHED","Water
shed / 
Distric
t","Annual Ground water 
Recharge (ham)",,,,"Annual Extractable Ground 
water Resource (ham)",,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,"Allocation of Ground 
Water Resource for 
Domestic Utilisation for 
projected year 2025 
(ham)",,,,"Net Annual Ground Water 
Availability for Future Use 
(ham)",,,,"Stage of Ground 
Water Extraction 
(%)",,,,Categorization of Assessment Unit,,,
,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,P Q,"Tot
al",C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,"To
tal",C,NC,PQ,Total
"13
65","WG
KD","WGKD-
0","Gadchi
roli",0,"1615.
4",0,"1615.
4",0,"1534.
6",0,"1534.
6",,38.5,,38.5,,0,,0,,294.9,,294.9,,333.4,,333.4,0,38.5,0,38.5,0,"1201.
2",0,"1201.
2",,"21.
7",,"21.
7",,safe,,safe
"13
66","WG
KD","WGKD-
0","Gadchi
roli",0,922.3,0,922.3,0,876.1,0,876.1,,23.5,,23.5,,0,,0,,312.2,,312.2,,335.7,,335.7,0,23.5,0,23.5,0,540.5,0,540.5,,"38.
3",,"38.
3",,safe,,safe
"13
67","WG
KK","WGKK-
0","Gadchi
roli",0,198.9,0,198.9,0,189.0,0,189.0,,11.7,,11.7,,0,,0,,37.5,,37.5,,49.3,,49.3,0,11.7,0,11.7,0,139.7,0,139.7,,"26.
1",,"26.
1",,safe,,safe
"13
68","WG
KK","WGKK-
1",Nagpur,"749.
5","1148.
2",0,"1897.
7","712.
1","1033.
3",0,"1745.
4",89.2,"228.
0",,"317.
2",0.0,0.8,,0.8,"388.
6",674.1,,"1062.
7","477.
8",902.9,,"1380.
7",89.2,"228.
0",0,"317.
2","234.
3",130.4,0,364.7,"67.
1","87.
4",,"79.
1",safe,"semi_cri
tical",,"semi_cri
tical"
"13
69","WG
KK","WGKK-
2",Nagpur,"145.
4","1316.
3",0,"1461.
7","130.
9","1250.
5",0,"1381.
4",6.8,78.7,,85.5,0.0,0,,0,78.3,639.4,,717.7,85.0,718.2,,803.2,6.8,78.8,0,85.5,45.8,532.3,0,578.2,"65.
0","57.
4",,"58.
1",safe,safe,,safe
"13
70","WG
KK","WGKK-
3",Nagpur,"578.
1",978.6,0,"1556.
7","549.
2",880.7,0,"1429.
9","110.
2","236.
2",,"346.
4",0.8,0.9,,1.7,"217.
6",379.8,,597.4,"328.
6",616.8,,945.4,"110.
2","236.
2",0,"346.
4","220.
6",263.9,0,484.5,"59.
8","70.
0",,"66.
1",safe,"semi_cri
tical",,safe
"13
71","WG
KKC","WGKK
C-1",Nagpur,"310.
4","2025.
1",0,"2335.
5","294.
9","1822.
6",0,"2117.
5",20.3,"101.
3",,"121.
5",0.0,0,,0,62.2,985.7,,"1047.
9",82.5,"1087.
0",,"1169.
5",20.3,"101.
3",0,"121.
6","212.
4",735.6,0,948.0,"28.
0","59.
6",,"55.
2",safe,safe,,safe
"13
72","WG
KKC","WGKK
C-2",Nagpur,"646.
0","5122.
8",0,"5768.
8","613.
7","4866.
7",0,"5480.
4","104.
2","279.
5",,"383.
7",0.0,5.9,,5.9,"223.
2","2714.
7",,"2937.
9","327.
4","3000.
1",,"3327.
5","104.
2","279.
5",0,"383.
7","286.
3","1866.
6",0,"2152.
9","53.
3","61.
6",,"60.
7",safe,safe,,safe
"13
73","WG
KN","WGKN-
1",Nagpur,0,574.3,0,574.3,0,545.6,0,545.6,,65.8,,65.8,,2.8,,2.8,,210.1,,210.1,,278.7,,278.7,0,65.8,0,65.8,0,266.9,0,266.9,,"51.
1",,"51.
1",,safe,,safe
"13
74","WG
KN","WGKN-
2",Nagpur,72.6,"1759.
0",0,"1831.
6",68.9,"1671.
1",0,"1740.
0",14.1,"116.
4",,"130.
6",0.0,2.7,,2.7,52.5,777.8,,830.3,66.6,897.0,,963.6,14.1,"116.
4",0,"130.
6",2.3,774.1,0,776.4,"96.
6","53.
7",,"55.
4",critical,safe,,safe
"13
75","WG
KN","WGKN-
3",Nagpur,"226.
1","1300.
2",0,"1526.
3","214.
8","1235.
2",0,"1450.
0",23.8,99.3,,"123.
1",0.0,0.6,,0.6,"106.
5",576.4,,683.0,"130.
4",676.3,,806.7,23.8,99.3,0,"123.
1",84.4,558.9,0,643.3,"60.
7","54.
8",,"55.
6",safe,safe,,safe
"13
76","WG
KN","WGKN-
4",Nagpur,"1986
.0",2.2,0,"1988.
2","1886
.7",1.9,0,"1888.
6","176.
0",,,"176.
0","85.
2",,,"85.
2","255.
9",,,255.9,"517.
2",,,517.2,"176.
0",0.0,0,"176.
0","1369
.5",1.9,0,"1371.
5","27.
4",,,"27.
4",safe,,,safe
"13
77","WG
KN","WGKN-
5",Nagpur,"1424
.7",0.0,0,"1424.
7","1353
.5",0.0,0,"1353.
5",66.7,,,66.7,"18.
8",,,"18.
8","836.
4",,,836.4,"921.
9",,,921.9,66.7,0.0,0,66.7,"431.
6",0.0,0,431.6,"68.
1",,,"68.
1",safe,,,safe
"13
78","WG
KP","WGKP-
1",Nagpur,0,116.8,0,116.8,0,111.0,0,111.0,,32.0,,32.0,,0,,0,,26.1,,26.1,,58.2,,58.2,0,32.0,0,32.0,0,52.8,0,52.8,,"52.
4",,"52.
4",,safe,,safe
"13
79","WG
KP","WGKP-
2",Nagpur,"1450
.4",0.0,0,"1450.
4","1377
.8",0.0,0,"1377.
8","159.
0",,,"159.
0",0.9,,,0.9,"447.
1",,,447.1,"607.
0",,,607.0,"159.
1",0.0,0,"159.
1","770.
8",0.0,0,770.8,"44.
1",,,"44.
1",safe,,,safe
"13
80","WG
KP","WGKP-
3",Nagpur,"948.
5",419.6,0,"1368.
1","901.
1",377.6,0,"1278.
7","122.
2","141.
7",,"263.
9",0.0,0,,0,"119.
8",80.5,,200.2,"241.
9",222.2,,464.1,"122.
2","141.
7",0,"263.
9","659.
2",155.5,0,814.6,"26.
8","58.
8",,"36.
3",safe,safe,,safe
"13
81","WG
KP","WGKP-
4",Nagpur,0,155.9,0,155.9,0,148.1,0,148.1,,7.3,,7.3,,0,,0,,32.3,,32.3,,39.6,,39.6,0,7.3,0,7.3,0,108.4,0,108.4,,"26.
8",,"26.
8",,safe,,safe
"13
82","WG
KS","WGKS-
1","Gadchi
roli",0,"2610.
3",0,"2610.
3",0,"2479.
8",0,"2479.
8",,72.3,,72.3,,0,,0,,884.6,,884.6,,956.8,,956.8,0,72.3,0,72.3,0,"1523.
0",0,"1523.
0",,"38.
6",,"38.
6",,safe,,safe
"13
83","WG
KS","WGKS-
2","Gadchi
roli",0,"2590.
0",0,"2590.
0",0,"2460.
5",0,"2460.
5",,91.3,,91.3,,0,,0,,846.0,,846.0,,937.2,,937.2,0,91.3,0,91.3,0,"1523.
3",0,"1523.
3",,"38.
1",,"38.
1",,safe,,safe
"13
84","WG
KS","WGKS-
3","Gadchi
roli",0,895.7,0,895.7,0,850.9,0,850.9,,13.9,,13.9,,0,,0,,183.9,,183.9,,197.8,,197.8,0,13.9,0,13.9,0,653.1,0,653.1,,"23.
2",,"23.
2",,safe,,safe
"13
85","WG
KST","WGKST
-0","Gadchi
roli",0,998.7,0,998.7,0,948.7,0,948.7,,11.6,,11.6,,0,,0,,118.2,,118.2,,129.9,,129.9,0,11.6,0,11.6,0,818.9,0,818.9,,"13.
7",,"13.
7",,safe,,safe
"13
86","WG
KT","WGKT-
0","Gadchi
roli",0,479.7,0,479.7,0,455.7,0,455.7,,19.1,,19.1,,0,,0,,154.6,,154.6,,173.7,,173.7,0,19.1,0,19.1,0,282.0,0,282.0,,"38.
1",,"38.
1",,safe,,safe
"13
87",WGL  WGL-0,,"Chandr
apur","1362
.0",191.3,0,"1553.
3","1293
.9",172.2,0,"1466.
0","253.
7",66.2,,"320.
0",0.0,0,,0,"277.
1",57.8,,334.9,"530.
8",124.0,,654.9,"253.
7",66.2,0,"320.
0","763.
1",48.1,0,811.2,"41.
0","72.
0",,"44.
7",safe,"semi_cri
tical",,safe
"13
88","WG
M",WGM-1,Nagpur,42.6,955.5,0,998.1,38.3,907.8,0,946.1,16.2,67.8,,84.0,0.0,0,,0,35.6,393.9,,429.5,51.7,461.7,,513.4,16.2,67.8,0,84.0,0,446.0,0,446.0,"13
5.0","50.
9",,"54.
3","over_ex
ploited",safe,,safe
"13
89","WG
M",WGM-2,"Chandr
apur",0,913.2,0,913.2,0,867.6,0,867.6,,"164.
2",,"164.
2",,0,,0,,280.0,,280.0,,444.2,,444.2,0,"164.
2",0,"164.
2",0,423.3,0,423.3,,"51.
2",,"51.
2",,safe,,safe
"13
90","WG
M",WGM-2,Nagpur,"265.
5","1428.
9",0,"1694.
4","238.
9","1357.
5",0,"1596.
4",45.0,"154.
6",,"199.
5",0.0,0.9,,0.9,64.4,810.1,,874.5,"109.
4",965.5,,"1075.
0",45.0,"154.
6",0,"199.
5","129.
5",391.9,0,521.4,"45.
8","71.
1",,"67.
3",safe,"semi_cri
tical",,safe
"13
91","WG
M",WGM-2,"Bhand
ara",0.4,882.7,0,883.1,0.4,838.5,0,838.9,,47.0,,47.0,,0.3,,0.3,,517.2,,517.2,,564.5,,564.5,0,47.0,0,47.0,0.4,274.0,0,274.4,,"67.
3",,"67.
3",,safe,,safe
"13
92","WG
M",WGM-3,Nagpur,0,476.8,0,476.8,0,429.1,0,429.1,,28.5,,28.5,,0,,0,,235.9,,235.9,,264.3,,264.3,0,28.5,0,28.5,0,164.8,0,164.8,,"61.
6",,"61.
6",,safe,,safe
"13
93","WG
P",WGP-0,"Gadchi
roli","585.
8",699.2,0,"1285.
0","556.
5",629.3,0,"1185.
8",57.7,"173.
8",,"231.
5",0.0,0,,0,79.7,239.1,,318.8,"137.
4",412.9,,550.3,57.8,"173.
8",0,"231.
5","419.
1",216.4,0,635.5,"24.
7","65.
6",,"46.
4",safe,safe,,safe
"13
94","WG
P",WGP-1,"Gadchi
roli",0,"1945.
7",0,"1945.
7",0,"1848.
4",0,"1848.
4",,70.6,,70.6,,0,,0,,379.2,,379.2,,449.8,,449.8,0,70.6,0,70.6,0,"1398.
6",0,"1398.
6",,"24.
3",,"24.
3",,safe,,safe
"13
95","WG
P",WGP-2,"Gadchi
roli",0,"1327.
2",0,"1327.
2",0,"1260.
8",0,"1260.
8",,"184.
5",,"184.
5",,0,,0,,432.8,,432.8,,617.3,,617.3,0,"184.
5",0,"184.
5",0,643.6,0,643.6,,"49.
0",,"49.
0",,safe,,safe
"13
96","WG
PA","WGPA-
0","Gadchi
roli",0,"3597.
9",0,"3597.
9",0,"3418.
0",0,"3418.
0",,"122.
1",,"122.
1",,0,,0,,865.5,,865.5,,987.5,,987.5,0,"122.
1",0,"122.
1",0,"2430.
5",0,"2430.
5",,"28.
9",,"28.
9",,safe,,safe
"13
97","WG
PK","WGPK-
0","Gadchi
roli",0,520.2,0,520.2,0,494.2,0,494.2,,22.8,,22.8,,0,,0,,109.0,,109.0,,131.8,,131.8,0,22.8,0,22.8,0,362.3,0,362.3,,"26.
7",,"26.
7",,safe,,safe
"13
98","WG
PM","WGPM-
1","Gadchi
roli",0,830.9,0,830.9,0,747.8,0,747.8,,32.1,,32.1,,0,,0,,112.1,,112.1,,144.2,,144.2,0,32.1,0,32.1,0,603.6,0,603.6,,"19.
3",,"19.
3",,safe,,safe
"13
99","WG
PM","WGPM-
2","Gadchi
roli",0,"1306.
7",0,"1306.
7",0,"1241.
3",0,"1241.
3",,42.2,,42.2,,0,,0,,202.2,,202.2,,244.5,,244.5,0,42.2,0,42.2,0,996.9,0,996.9,,"19.
7",,"19.
7",,safe,,safe
"14
00","WG
PM","WGPM-
3","Gadchi
roli",0,"1365.
3",0,"1365.
3",0,"1228.
7",0,"1228.
7",,7.4,,7.4,,0,,0,,20.9,,20.9,,28.4,,28.4,0,7.4,0,7.4,0,"1200.
4",0,"1200.
4",,2.3,,2.3,,safe,,safe
"14
01","WG
PS","WGPS-
0","Gadchi
roli","145.
1","1370.
5",0,"1515.
6","137.
8","1233.
4",0,"1371.
2",42.9,46.5,,89.3,0.2,0,,0.2,45.7,297.8,,343.5,88.8,344.2,,433.0,42.9,46.5,0,89.4,49.0,889.2,0,938.2,"64.
4","27.
9",,"31.
6",safe,safe,,safe
"14
02","WG
S",WGS-1,Nagpur,"192.
4","1018.
0",0,"1210.
4","182.
8",967.1,0,"1149.
9",62.7,"100.
2",,"162.
9",0.0,0,,0,63.0,380.2,,443.2,"125.
7",480.3,,606.1,62.7,"100.
2",0,"162.
9",57.1,486.8,0,543.8,"68.
8","49.
7",,"52.
7",safe,safe,,safe
"S.
No","BAS
IN","WATER
SHED","Water
shed / 
Distric
t","Annual Ground water 
Recharge (ham)",,,,"Annual Extractable Ground 
water Resource (ham)",,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,"Allocation of Ground 
Water Resource for 
Domestic Utilisation for 
projected year 2025 
(ham)",,,,"Net Annual Ground Water 
Availability for Future Use 
(ham)",,,,"Stage of Ground 
Water Extraction 
(%)",,,,Categorization of Assessment Unit,,,
,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,P Q,"Tot
al",C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,"To
tal",C,NC,PQ,Total
"14
03","WG
S",WGS-2,Nagpur,"516.
9",732.7,0,"1249.
6","491.
1",696.1,0,"1187.
1","180.
5","240.
8",,"421.
3",0.0,0.4,,0.4,"125.
6",276.0,,401.5,"306.
1",517.2,,823.3,"180.
5","240.
8",0,"421.
3","185.
0",178.9,0,363.9,"62.
3","74.
3",,"69.
3",safe,"semi_cri
tical",,safe
"14
04","WG
S",WGS-2,"Bhand
ara","1171
.3",26.9,0,"1198.
2","1112
.7",24.2,0,"1137.
0",70.4,,,70.4,0.3,,,0.3,"494.
3",,,494.3,"564.
9",,,564.9,70.4,0.0,0,70.4,"547.
8",24.2,0,572.0,"50.
8",,,"49.
7",safe,,,safe
"14
05","WG
S",WGS-3,"Bhand
ara","1295
.6",9.6,0,"1305.
2","1230
.8",8.6,0,"1239.
4","107.
7",,,"107.
7","19.
4",,,"19.
4","661.
0",,,661.0,"788.
1",,,788.1,"107.
7",0.0,0,"107.
7","442.
7",8.6,0,451.4,"64.
0",,,"63.
6",safe,,,safe
"14
06","WG
S",WGS-3,Nagpur,"2265
.2",0.0,0,"2265.
2","2152
.0",0.0,0,"2152.
0","106.
3",,,"106.
3",0.0,,,0,"249.
4",,,249.4,"355.
7",,,355.7,"106.
3",0.0,0,"106.
3","1796
.3",0.0,0,"1796.
3","16.
5",,,"16.
5",safe,,,safe
"14
07","WG
S",WGS-4,"Bhand
ara","119.
4","1255.
3",0,"1374.
8","113.
5","1192.
6",0,"1306.
0",15.8,"104.
6",,"120.
3",0.0,"38.
3",,"38.
3",71.5,637.4,,709.0,87.3,780.3,,867.6,15.8,"104.
6",0,"120.
3",26.2,412.3,0,438.5,"76.
9","65.
4",,"66.
4","semi_cri
tical",safe,,safe
"14
08","WG
SG","WGSG-
0","Bhand
ara","1022
.0","1137.
5",0,"2159.
5","970.
9","1080.
6",0,"2051.
5",39.2,85.0,,"124.
2",0.0,0.1,,0.1,"414.
1",656.5,,"1070.
6","453.
3",741.6,,"1194.
9",39.2,85.0,0,"124.
2","517.
6",339.0,0,856.6,"46.
7","68.
6",,"58.
2",safe,safe,,safe
"14
09","WG
W",WGW-1,Gondia,"1043
.0",717.3,0,"1760.
3","990.
9",645.5,0,"1636.
4","175.
6",92.4,,"267.
9",9.4,2.2,,"11.
6","182.
3",213.0,,395.3,"367.
2",307.6,,674.8,"175.
6",92.4,0,"267.
9","623.
6",338.0,0,961.6,"37.
1","47.
6",,"41.
2",safe,safe,,safe
"14
10","WG
W",WGW-2,Gondia,"741.
0","1610.
6",0,"2351.
5","703.
9","1530.
1",0,"2234.
0","335.
4","158.
7",,"494.
1","10.
4",6.2,,"16.
6",95.2,105.6,,200.8,"440.
9",270.6,,711.5,"335.
4","158.
7",0,"494.
1","263.
0","1259.
5",0,"1522.
5","62.
6","17.
7",,"31.
8",safe,safe,,safe
"14
11","WG
W",WGW-3,Gondia,"1257
.2","1424.
1",0,"2681.
4","1131
.5","1281.
7",0,"2413.
2","113.
0",31.4,,"144.
4",2.9,0,,2.9,"185.
2",75.2,,260.4,"301.
1",106.6,,407.7,"113.
0",31.4,0,"144.
4","830.
4","1175.
1",0,"2005.
5","26.
6",8.3,,"16.
9",safe,safe,,safe
"14
12","WG
W",WGW-3,Gondia,"1055
.8","1286.
3",0,"2342.
2","1003
.0","1222.
0",0,"2225.
1","174.
2",66.6,,"240.
8",8.6,3.8,,"12.
4","202.
0",156.4,,358.4,"384.
9",226.8,,611.6,"174.
2",66.6,0,"240.
8","618.
2",995.3,0,"1613.
4","38.
4","18.
6",,"27.
5",safe,safe,,safe
"14
13","WG
W",WGW-4,Gondia,"957.
4","1189.
4",0,"2146.
8","909.
5","1130.
0",0,"2039.
5","121.
6",54.7,,"176.
3",3.7,1.4,,5.1,"126.
4",135.9,,262.3,"251.
7",192.1,,443.7,"121.
6",54.7,0,"176.
3","657.
9",937.9,0,"1595.
8","27.
7","17.
0",,"21.
8",safe,safe,,safe
"14
14","WG
W",WGW-5,Gondia,39.1,"1796.
2",0,"1835.
3",37.2,"1706.
4",0,"1743.
6",15.5,86.8,,"102.
2",0.0,0.2,,0.2,4.1,202.1,,206.2,19.5,289.1,,308.6,15.5,86.8,0,"102.
2",17.7,"1417.
4",0,"1435.
0","52.
5","16.
9",,"17.
7",safe,safe,,safe
"14
15","WG
W",WGW-6,Gondia,73.9,"2000.
4",0,"2074.
3",70.2,"1900.
4",0,"1970.
6",14.6,39.0,,53.6,0.8,0,,0.8,12.2,12.1,,24.3,27.7,51.1,,78.7,14.6,39.0,0,53.6,42.5,"1849.
3",0,"1891.
8","39.
4",2.7,,4.0,safe,safe,,safe
"14
16","WG
W",WGW-7,Gondia,"193.
0","1054.
9",0,"1247.
8","173.
7","1002.
1",0,"1175.
8",61.1,22.1,,83.3,2.5,0.4,,2.9,57.6,85.2,,142.9,"121.
3",107.7,,229.0,61.2,22.1,0,83.3,52.3,894.4,0,946.8,"69.
9","10.
7",,"19.
5",safe,safe,,safe
"14
17","WG
WK","WGWK-
0",Gondia,"449.
7",843.7,0,"1293.
4","427.
2",759.4,0,"1186.
6",92.4,64.8,,"157.
2",3.5,1.1,,4.6,"137.
4",88.3,,225.8,"233.
4",154.2,,387.6,92.4,64.8,0,"157.
2","193.
9",605.1,0,799.0,"54.
6","20.
3",,"32.
7",safe,safe,,safe
"14
18","WG
WP","WGWP-
1",Gondia,"2043
.2","1258.
3",0,"3301.
5","1941
.0","1195.
4",0,"3136.
4","441.
7","134.
6",,"576.
3","11.
6",3.8,,"15.
4","323.
3",114.8,,438.1,"776.
5",253.3,,"1029.
8","441.
7","134.
6",0,"576.
3","1164
.5",942.1,0,"2106.
6","40.
0","21.
2",,"32.
8",safe,safe,,safe
"14
19","WG
WP","WGWP-
2",Gondia,"570.
1","1747.
8",0,"2317.
9","541.
6","1660.
4",0,"2202.
0","169.
6","224.
4",,"394.
1",4.6,"125
.6",,"130
.2",54.0,697.0,,751.0,"228.
2","1047.
0",,"1275.
2","169.
6","224.
4",0,"394.
1","313.
4",613.5,0,926.8,"42.
1","63.
1",,"57.
9",safe,safe,,safe
"14
20","WG
WP","WGWP-
3",Gondia,0,"2106.
4",0,"2106.
4",0,"2001.
1",0,"2001.
1",,"312.
3",,"312.
3",,9.8,,9.8,,631.4,,631.4,,953.5,,953.5,0,"312.
3",0,"312.
3",0,"1047.
6",0,"1047.
6",,"47.
6",,"47.
6",,safe,,safe
"14
21","WG
WS","WGWS-
0",Gondia,73.6,"1243.
2",0,"1316.
7",66.2,"1181.
0",0,"1247.
2",20.9,"109.
3",,"130.
3",0.3,5.1,,5.4,16.7,328.6,,345.3,38.0,443.0,,481.0,20.9,"109.
3",0,"130.
3",28.2,738.0,0,766.2,"57.
3","37.
5",,"38.
6",safe,safe,,safe
